"","Freq","Brogan_Age","Julie_Age","Andrew_Age","Todd_Age","Beth_Age","Chris_Age","Kali_Age"
"1",2,-999,-999,-999,-999,-999,-999,-999
"2",1,-999,7,7,7,-999,5,6
"3",1,-999,10,4,7,-999,7,4
"4",1,2,2,2,2,2,2,2
"5",1,2,3,2,2,2,3,3
"6",1,2,3,3,3,3,3,3
"7",1,2,4,4,4,3,3,3
"8",1,3,2,3,4,3,3,3
"9",1,3,3,3,3,3,2,3
"10",1,3,3,3,3,3,3,2
"11",14,3,3,3,3,3,3,3
"12",1,3,3,3,4,2,3,3
"13",13,3,3,3,4,3,3,3
"14",2,3,3,3,4,4,3,3
"15",1,3,3,3,5,3,4,3
"16",2,3,3,4,3,3,3,3
"17",1,3,4,3,4,-999,4,4
"18",1,3,4,3,4,3,3,3
"19",1,3,4,3,5,3,4,4
"20",1,3,5,3,4,3,3,4
"21",1,3,5,4,4,3,2,3
"22",1,3,5,4,5,4,3,3
"23",1,4,3,4,4,4,3,3
"24",1,4,3,4,4,4,3,4
"25",1,4,4,3,4,4,3,3
"26",1,4,4,3,4,4,4,4
"27",1,4,4,4,3,4,4,4
"28",1,4,4,4,4,3,3,3
"29",21,4,4,4,4,4,4,4
"30",1,4,4,4,4,5,4,4
"31",4,4,4,4,5,4,4,4
"32",1,4,4,6,4,4,3,3
"33",1,4,4,6,5,4,4,5
"34",1,4,5,3,4,3,4,4
"35",6,4,5,4,4,4,4,4
"36",1,4,5,4,4,4,4,5
"37",1,4,5,4,4,5,4,4
"38",1,4,5,4,5,5,4,4
"39",1,4,5,4,5,5,4,5
"40",1,4,5,4,6,5,5,5
"41",1,4,5,5,4,4,4,4
"42",1,4,5,5,4,4,4,9
"43",1,4,5,5,5,3,4,3
"44",1,4,5,5,5,4,4,4
"45",1,4,5,5,5,5,4,5
"46",1,4,5,5,5,5,5,5
"47",1,4,5,6,5,5,4,4
"48",1,4,6,4,4,4,4,4
"49",1,4,6,4,5,4,4,6
"50",1,4,6,5,5,5,4,4
"51",1,4,6,5,5,6,6,5
"52",1,4,6,7,7,5,6,5
"53",1,4,8,5,6,5,5,5
"54",1,5,4,4,6,4,4,4
"55",1,5,4,5,5,4,4,4
"56",1,5,4,5,5,5,4,5
"57",1,5,4,5,5,7,5,5
"58",1,5,5,4,5,5,4,4
"59",1,5,5,4,6,4,5,4
"60",1,5,5,5,5,4,5,4
"61",1,5,5,5,5,5,4,5
"62",1,5,5,5,5,5,5,4
"63",18,5,5,5,5,5,5,5
"64",1,5,5,5,5,5,5,6
"65",1,5,5,5,5,5,6,5
"66",6,5,5,5,6,5,5,5
"67",1,5,5,5,6,5,6,5
"68",1,5,5,5,6,6,5,5
"69",1,5,5,5,7,5,5,5
"70",1,5,5,6,5,6,5,5
"71",1,5,5,6,6,5,5,4
"72",1,5,5,6,6,5,5,5
"73",1,5,6,4,5,5,4,5
"74",2,5,6,4,5,5,5,5
"75",2,5,6,5,5,5,4,5
"76",3,5,6,5,5,5,5,5
"77",1,5,6,5,5,5,6,5
"78",2,5,6,5,5,6,5,5
"79",2,5,6,5,6,5,5,5
"80",1,5,6,5,6,5,6,5
"81",1,5,6,5,7,6,6,6
"82",1,5,6,6,5,6,5,5
"83",1,5,6,6,6,5,5,5
"84",1,5,6,6,6,6,5,5
"85",1,5,6,6,7,6,5,5
"86",1,5,7,5,6,5,6,6
"87",1,5,7,5,6,6,5,5
"88",1,5,7,6,6,6,5,6
"89",1,5,8,7,6,6,5,6
"90",1,5,8,7,6,6,6,6
"91",1,5,9,5,7,6,6,8
"92",1,5,9,8,7,7,6,6
"93",1,5,10,6,5,6,5,6
"94",1,6,-999,7,6,7,6,6
"95",2,6,6,5,5,6,5,5
"96",1,6,6,5,5,6,5,6
"97",1,6,6,5,5,6,6,5
"98",1,6,6,5,6,6,5,5
