Range_of_ages
0 23

Data_set_1
427                                   # data points
7                                    # readers
2 17 3                               # minus group; plus group; reference age
   1  2  3  4  5  6  7
2  -999  -999  -999  -999  -999  -999  -999
1  -999  7  7  -999  7  5  6
1  -999  4  7  -999  10 7  4
1  2  2  2  2  2  2  2
1  2  2  2  2  3  3  3
1  3  3  3  2  3  3  3
1  3  4  4  2  4  3  3
1  3  3  4  3  2  3  3
1  3  3  3  3  3  2  3
1  3  3  3  3  3  3  2
14 3  3  3  3  3  3  3
1  2  3  4  3  3  3  3
13 3  3  4  3  3  3  3
2  4  3  4  3  3  3  3
1  3  3  5  3  3  4  3
2  3  4  3  3  3  3  3
1  -999  3  4  3  4  4  4
1  3  3  4  3  4  3  3
1  3  3  5  3  4  4  4
1  3  3  4  3  5  3  4
1  3  4  4  3  5  2  3
1  4  4  5  3  5  3  3
1  4  4  4  4  3  3  3
1  4  4  4  4  3  3  4
1  4  3  4  4  4  3  3
1  4  3  4  4  4  4  4
1  4  4  3  4  4  4  4
1  3  4  4  4  4  3  3
21 4  4  4  4  4  4  4
1  5  4  4  4  4  4  4
4  4  4  5  4  4  4  4
1  4  6  4  4  4  3  3
1  4  6  5  4  4  4  5
1  3  3  4  4  5  4  4
6  4  4  4  4  5  4  4
1  4  4  4  4  5  4  5
1  5  4  4  4  5  4  4
1  5  4  5  4  5  4  4
1  5  4  5  4  5  4  5
1  5  4  6  4  5  5  5
1  4  5  4  4  5  4  4
1  4  5  4  4  5  4  9
1  3  5  5  4  5  4  3
1  4  5  5  4  5  4  4
1  5  5  5  4  5  4  5
1  5  5  5  4  5  5  5
1  5  6  5  4  5  4  4
1  4  4  4  4  6  4  4
1  4  4  5  4  6  4  6
1  5  5  5  4  6  4  4
1  6  5  5  4  6  6  5
1  5  7  7  4  6  6  5
1  5  5  6  4  8  5  5
1  4  4  6  5  4  4  4
1  4  5  5  5  4  4  4
1  5  5  5  5  4  4  5
1  7  5  5  5  4  5  5
1  5  4  5  5  5  4  4
1  4  4  6  5  5  5  4
1  4  5  5  5  5  5  4
1  5  5  5  5  5  4  5
1  5  5  5  5  5  5  4
18 5  5  5  5  5  5  5
1  5  5  5  5  5  5  6
1  5  5  5  5  5  6  5
6  5  5  6  5  5  5  5
1  5  5  6  5  5  6  5
1  6  5  6  5  5  5  5
1  5  5  7  5  5  5  5
