"file_name","sample","final_age","latitude","length","gear_depth","gear_temp"
"WALLEYE_POLLOCK_157201603201_60411_OT1.0","training",10,53.97653,610,407.26,4.33
"WALLEYE_POLLOCK_157201603201_60412_OT1.0","training",10,53.97653,611,407.26,4.33
"WALLEYE_POLLOCK_157201603201_60414_OT1.0","training",5,53.97653,443,407.26,4.33
"WALLEYE_POLLOCK_157201603201_60428_OT1.0","training",8,53.97653,479,407.26,4.33
"WALLEYE_POLLOCK_157201603201_60450_OT1.0","training",5,53.97653,451,407.26,4.33
"WALLEYE_POLLOCK_157201603201_60456_OT1.0","training",3,53.97653,392,407.26,4.33
"WALLEYE_POLLOCK_157201603201_60463_OT1.0","training",5,53.97653,408,407.26,4.33
"WALLEYE_POLLOCK_157201603201_60465_OT1.0","training",8,53.97653,428,407.26,4.33
"WALLEYE_POLLOCK_157201603201_60471_OT1.0","training",7,53.8269,435,337.91,4.38
"WALLEYE_POLLOCK_157201603201_60476_OT1.0","training",9,53.8269,473,337.91,4.38
"WALLEYE_POLLOCK_157201603201_60477_OT1.0","training",10,53.8269,606,337.91,4.38
"WALLEYE_POLLOCK_157201603201_60490_OT1.0","training",6,53.71614,467,416.36,4.32
"WALLEYE_POLLOCK_157201603201_60492_OT1.0","training",8,53.71614,474,416.36,4.32
"WALLEYE_POLLOCK_157201603201_60518_OT1.0","training",6,53.71614,491,416.36,4.32
"WALLEYE_POLLOCK_157201603201_60526_OT1.0","training",9,53.71614,497,416.36,4.32
"WALLEYE_POLLOCK_157201603201_60529_OT1.0","training",7,53.71614,484,416.36,4.32
"WALLEYE_POLLOCK_157201603201_60535_OT1.0","test",7,53.71614,445,416.36,4.32
"WALLEYE_POLLOCK_157201603201_60539_OT1.0","training",7,53.71614,455,416.36,4.32
"WALLEYE_POLLOCK_157201603201_60543_OT1.0","test",7,53.71614,434,416.36,4.32
"WALLEYE_POLLOCK_157201603201_60547_OT1.0","training",6,53.71614,442,416.36,4.32
"WALLEYE_POLLOCK_157201603201_60548_OT1.0","training",7,53.71614,466,416.36,4.32
"WALLEYE_POLLOCK_157201603201_60549_OT1.0","training",7,53.71614,430,416.36,4.32
"WALLEYE_POLLOCK_157201603201_60570_OT1.0","training",6,53.60675,474,420.46,4.16
"WALLEYE_POLLOCK_157201603201_60586_OT1.0","test",6,53.60675,491,420.46,4.16
"WALLEYE_POLLOCK_157201603201_60588_OT1.0","test",8,53.60675,480,420.46,4.16
"WALLEYE_POLLOCK_157201603201_60597_OT1.0","test",13,53.60675,650,420.46,4.16
"WALLEYE_POLLOCK_157201603201_60598_OT1.0","training",10,53.62244,565,340.01,4.32
"WALLEYE_POLLOCK_157201603201_60601_OT1.0","training",6,53.62244,531,340.01,4.32
"WALLEYE_POLLOCK_157201603201_60606_OT1.0","training",6,53.62244,426,340.01,4.32
"WALLEYE_POLLOCK_157201603201_60626_OT1.0","training",5,53.62244,420,340.01,4.32
"WALLEYE_POLLOCK_157201603201_60631_OT1.0","test",4,53.62244,418,340.01,4.32
"WALLEYE_POLLOCK_157201603201_60639_OT1.0","training",4,53.62244,409,340.01,4.32
"WALLEYE_POLLOCK_157201603201_60669_OT1.0","training",6,53.49692,429,470.34,4.23
"WALLEYE_POLLOCK_157201603201_60671_OT1.0","training",4,53.49692,438,470.34,4.23
"WALLEYE_POLLOCK_157201603201_60672_OT1.0","training",8,53.49692,449,470.34,4.23
"WALLEYE_POLLOCK_157201603201_60683_OT1.0","test",7,53.27908,518,341.01,4.44
"WALLEYE_POLLOCK_157201603201_60692_OT1.0","training",8,53.27908,443,341.01,4.44
"WALLEYE_POLLOCK_157201603201_60712_OT1.0","training",4,53.27908,398,341.01,4.44
"WALLEYE_POLLOCK_157201603201_60727_OT1.0","training",7,53.17364,470,385.88,4.12
"WALLEYE_POLLOCK_157201603201_60747_OT1.0","training",7,53.17364,497,385.88,4.12
"WALLEYE_POLLOCK_157201603201_60751_OT1.0","training",7,53.17364,466,385.88,4.12
"WALLEYE_POLLOCK_157201603201_60754_OT1.0","training",8,53.17364,482,385.88,4.12
"WALLEYE_POLLOCK_157201603201_60772_OT1.0","training",6,53.15808,477,640,3.36
"WALLEYE_POLLOCK_157201603201_60816_OT1.0","test",6,53.15808,468,640,3.36
"WALLEYE_POLLOCK_157201603201_60818_OT1.0","training",6,53.15808,458,640,3.36
"WALLEYE_POLLOCK_157201603201_60820_OT1.0","training",7,53.15808,493,640,3.36
"WALLEYE_POLLOCK_157201603201_60831_OT1.0","training",4,53.13822,395,393.93,3.92
"WALLEYE_POLLOCK_157201603201_60833_OT1.0","training",6,53.13822,488,393.93,3.92
"WALLEYE_POLLOCK_157201603201_60842_OT1.0","training",7,53.13822,492,393.93,3.92
"WALLEYE_POLLOCK_157201603201_60851_OT1.0","test",6,53.13822,495,393.93,3.92
"WALLEYE_POLLOCK_157201603201_60867_OT1.0","training",5,53.13822,468,393.93,3.92
"WALLEYE_POLLOCK_157201603201_60874_OT1.0","training",7,53.13822,449,393.93,3.92
"WALLEYE_POLLOCK_157201603201_60899_OT1.0","test",6,53.14846,449,695.79,3.39
"WALLEYE_POLLOCK_157201603201_60917_OT1.0","training",7,53.14846,541,695.79,3.39
"WALLEYE_POLLOCK_157201608201_61762_OT1.0","training",7,56.59328833,510,41.33,5.2
"WALLEYE_POLLOCK_157201608201_61764_OT1.0","training",9,56.59328833,466,41.33,5.2
"WALLEYE_POLLOCK_157201608201_61769_OT1.0","training",5,56.59328833,401,41.33,5.2
"WALLEYE_POLLOCK_157201608201_61772_OT1.0","training",4,56.59328833,430,41.33,5.2
"WALLEYE_POLLOCK_157201608201_61780_OT1.0","training",5,56.59328833,435,41.33,5.2
"WALLEYE_POLLOCK_157201608201_61785_OT1.0","training",9,56.59328833,531,41.33,5.2
"WALLEYE_POLLOCK_157201608201_61786_OT1.0","training",8,56.59328833,558,41.33,5.2
